dbn,name,primary_address,city,zip,latitude,longitude
07X203,M.S. 203,339 MORRIS AVENUE,BRONX,10451,40.81366,-73.925999
07X221,South Bronx Preparatory: A College Board School,360 EAST 145 STREET,BRONX,10454,40.8137232,-73.9206427
07X223,M.S. 223 The Laboratory School of Finance and Technology,360 EAST 145 STREET,BRONX,10454,40.8137232,-73.9206427
07X224,P.S. / I.S. 224,345 BROOK AVENUE,BRONX,10454,40.8102834,-73.9181008
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",455 SOUTHERN BLVD,BRONX,10455,40.8104623,-73.906773
07X277,P.S. 277,519 ST ANNS AVENUE,BRONX,10455,40.8133071,-73.9138374
07X296,South Bronx Academy for Applied Media,778 FOREST AVENUE,BRONX,10456,40.8189551,-73.9054918
07X298,Academy of Public Relations,778 FOREST AVENUE,BRONX,10456,40.8189551,-73.9054918
07X321,Crotona Academy High School,639 ST. ANNS AVENUE,BRONX,10455,40.8165264,-73.9117265
07X334,International Community High School,345 BROOK AVENUE,BRONX,10454,40.8102834,-73.9181008
07X343,Academy of Applied Mathematics and Technology,345 BROOK AVENUE,BRONX,10454,40.8102834,-73.9181008
07X359,Concourse Village Elementary School,750 CONCOURSE VILLAGE WEST,BRONX,10451,40.823043,-73.9226719
07X369,Young Leaders Elementary School,468 EAST 140 STREET,BRONX,10454,40.8092564,-73.9198088
07X379,Jill Chaifetz Transfer High School,778 FOREST AVENUE,BRONX,10456,40.8189551,-73.9054918
07X381,Bronx Haven High School,333 EAST 151 STREET,BRONX,10451,40.8185183,-73.9199681
07X385,Performance School,750 CONCOURSE VILLAGE WEST,BRONX,10451,40.823043,-73.9226719
07X427,Community School for Social Justice,350 GERARD AVENUE,BRONX,10451,40.8159162,-73.9304084
07X473,Mott Haven Village Preparatory High School,701 ST. ANNS AVENUE,BRONX,10455,40.8181071,-73.9114331
07X495,University Heights Secondary School,701 ST. ANNS AVENUE,BRONX,10455,40.8181071,-73.9114331
07X500,Hostos-Lincoln Academy of Science,600 SAINT ANN'S AVENUE,BRONX,10455,40.8145265,-73.9123068
